[2024-12-12 21:17:30,514: INFO: main: Welcome to the custom logging data science logger]
[2024-12-14 11:41:27,987: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-14 11:41:27,999: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-14 11:43:08,045: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-14 11:43:08,057: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-14 11:43:08,063: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-12-14 11:43:20,190: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-14 11:43:20,194: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-14 11:43:20,197: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-12-14 11:43:20,203: INFO: common: created directory at: artifacts]
[2024-12-14 11:48:09,825: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-14 11:48:09,828: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-14 11:48:09,830: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-12-14 11:48:09,835: INFO: common: created directory at: artifacts]
